Variable,Employment,Professional - Type of Employment,Measured_Unit,Country,Year,Value,Flag Codes,Flags
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",24 - Iceland,2022,18998233.21,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",33 - Finland,2022,81739.48,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",37 - United Kingdom,2021,56866.22,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",37 - United Kingdom,2022,56866.22,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",41 - South Korea,2021,83864316.99,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",41 - South Korea,2022,83864316.99,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",44 - Israel,2022,252300.64,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",50 - Slovenia,2022,61896.61,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",55 - Spain,2010,59725.4,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",59 - Poland,2011,90371.405,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",59 - Poland,2013,92012.305,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",59 - Poland,2015,98999.62,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",59 - Poland,2017,108605.965,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",59 - Poland,2019,121986.465,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",59 - Poland,2021,130088.22,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",59 - Poland,2022,130088.22,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",64 - Hungary,2022,12073078.44,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",80 - Chile,2010,21235289.4,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",88 - Costa Rica,2021,22459222.79,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",88 - Costa Rica,2022,22459222.79,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",96 - Mexico,2022,351679.29,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,20 - Netherlands,2022,2.24,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,24 - Iceland,2022,2.02,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,33 - Finland,2022,1.97,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,37 - United Kingdom,2021,1.78,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,37 - United Kingdom,2022,1.78,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,41 - South Korea,2021,2.06,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,41 - South Korea,2022,2.06,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,44 - Israel,2022,1.51,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,50 - Slovenia,2022,2.41,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,55 - Spain,2010,2.24,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,59 - Poland,2011,2.03,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,59 - Poland,2013,2.02,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,59 - Poland,2015,2.09,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,59 - Poland,2017,2.12,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,59 - Poland,2019,2.19,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,59 - Poland,2021,2.27,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,59 - Poland,2022,2.27,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,64 - Hungary,2022,3.49,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,69 - Turkey,2021,2.17,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,69 - Turkey,2022,2.17,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,80 - Chile,2010,2.03,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,80 - Chile,2022,2.62,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,88 - Costa Rica,2021,2.28,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,88 - Costa Rica,2022,2.28,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,income per average wage,96 - Mexico,2022,2.45,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",20 - Netherlands,2022,2.35,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",24 - Iceland,2022,2.68,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",33 - Finland,2022,1.96,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",37 - United Kingdom,2021,2.06,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",37 - United Kingdom,2022,2.06,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",41 - South Korea,2021,2.36,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",41 - South Korea,2022,2.36,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",44 - Israel,2022,1.59,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",50 - Slovenia,2022,2.78,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",55 - Spain,2010,2.61,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",59 - Poland,2011,2.16,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",59 - Poland,2013,2.08,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",59 - Poland,2015,2.105,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",59 - Poland,2017,2.1100000000000003,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",59 - Poland,2019,2.2199999999999998,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",59 - Poland,2021,2.34,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",59 - Poland,2022,2.34,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",64 - Hungary,2022,2.78,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",80 - Chile,2010,2.63,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",88 - Costa Rica,2021,3.48,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",88 - Costa Rica,2022,3.48,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, /capita GDP",96 - Mexico,2022,2.37,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",20 - Netherlands,2022,134652.25,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",24 - Iceland,2022,139854.46,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",33 - Finland,2022,95590.9,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",37 - United Kingdom,2021,83019.19,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",37 - United Kingdom,2022,83019.19,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",41 - South Korea,2021,90090.59,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",41 - South Korea,2022,90090.59,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",44 - Israel,2022,62776.26,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",50 - Slovenia,2022,106678.9,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",55 - Spain,2010,74991.81,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",59 - Poland,2011,44751.55,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",59 - Poland,2013,47814.395000000004,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",59 - Poland,2015,52983.71,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",59 - Poland,2017,59425.759999999995,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",59 - Poland,2019,68974.665,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",59 - Poland,2021,75344.37,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",59 - Poland,2022,75344.37,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",64 - Hungary,2022,88398.67,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",80 - Chile,2010,50108.09,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",88 - Costa Rica,2021,65732.52,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",88 - Costa Rica,2022,65732.52,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, PPP for private consumption, in US$",96 - Mexico,2022,40057.29,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",20 - Netherlands,2022,135336.58,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",24 - Iceland,2022,183529.91,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",33 - Finland,2022,104866.5,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",37 - United Kingdom,2021,83205.13,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",37 - United Kingdom,2022,83205.13,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",41 - South Korea,2021,74964.62,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",41 - South Korea,2022,74964.62,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",44 - Israel,2022,82991.51,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",50 - Slovenia,2022,81293.3,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",55 - Spain,2010,82636.04,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",59 - Poland,2011,27541.43,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",59 - Poland,2013,28258.93,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",59 - Poland,2015,27925.375,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",59 - Poland,2017,29370.045,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",59 - Poland,2019,34727.375,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",59 - Poland,2021,36944.2,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",59 - Poland,2022,36944.2,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",64 - Hungary,2022,52232.16,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",69 - Turkey,2022,19480.68,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",80 - Chile,2010,38352.69,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",88 - Costa Rica,2021,42535.05,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",88 - Costa Rica,2022,42535.05,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"income, US$ exchange rate",96 - Mexico,2022,23402.36,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",05 - Ireland,2021,148000.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",05 - Ireland,2022,148000.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2010,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2012,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2013,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2014,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2015,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2016,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2017,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2018,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2019,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2020,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2021,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",19 - Denmark,2022,1065164.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",20 - Netherlands,2021,123200.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",20 - Netherlands,2022,123200.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",23 - Austria,2020,140238.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",23 - Austria,2021,140238.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",23 - Austria,2022,140238.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",28 - Belgium,2022,126589.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",31 - Australia,2010,125204.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",31 - Australia,2022,154267.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",34 - Canada,2021,199026.16,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",34 - Canada,2022,199026.16,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",36 - France,2010,101800.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",36 - France,2012,103200.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",36 - France,2013,104600.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",36 - France,2015,108266.66666666667,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",36 - France,2016,110533.33333333333,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",36 - France,2018,112800.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",36 - France,2019,112800.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",36 - France,2020,112800.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",36 - France,2021,112800.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",36 - France,2022,112800.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",37 - United Kingdom,2021,125200.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",37 - United Kingdom,2022,125200.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",41 - South Korea,2021,128650873.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",41 - South Korea,2022,128650873.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",44 - Israel,2022,403645.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU",54 - Estonia,2022,66060.0,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",05 - Ireland,2021,141041.26,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",05 - Ireland,2022,141041.26,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2010,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2012,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2013,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2014,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2015,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2016,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2017,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2018,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2019,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2020,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2021,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",19 - Denmark,2022,1116316.99,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",20 - Netherlands,2021,112582.59,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",20 - Netherlands,2022,112582.59,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",23 - Austria,2020,131822.93,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",23 - Austria,2021,131822.93,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",23 - Austria,2022,131822.93,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",28 - Belgium,2022,113104.37,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",31 - Australia,2010,125277.74,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",31 - Australia,2022,126064.65,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",34 - Canada,2021,185466.83,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",34 - Canada,2022,185466.83,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",36 - France,2010,105570.96,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",36 - France,2012,106116.15333333334,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",36 - France,2013,106661.34666666666,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",36 - France,2015,108681.48333333332,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",36 - France,2016,110156.42666666667,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",36 - France,2018,111631.37,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",36 - France,2019,111631.37,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",36 - France,2020,111631.37,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",36 - France,2021,111631.37,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",36 - France,2022,111631.37,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",37 - United Kingdom,2021,109701.86,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",37 - United Kingdom,2022,109701.86,I,Interpolated
Remuneration of general practitioners,Self-employed,general practitioners - Self-employed,"annual income, NCU at 2015 GDP price level",41 - South Korea,2021,121942125.7,I,Interpolated
