VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",AUS,Australia,2014,2014,92478.93,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",AUS,Australia,2015,2015,94991,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",AUS,Australia,2016,2016,93430.65,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",AUS,Australia,2017,2017,95683.6,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",AUS,Australia,2018,2018,96754.32,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",AUS,Australia,2019,2019,100408.01,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",AUS,Australia,2020,2020,97250.4,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",AUS,Australia,2010,2010,1.21,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",AUS,Australia,2011,2011,1.22,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",AUS,Australia,2012,2012,1.2,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",AUS,Australia,2013,2013,1.19,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",AUS,Australia,2014,2014,1.18,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",AUS,Australia,2015,2015,1.2,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",AUS,Australia,2016,2016,1.21,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",AUS,Australia,2017,2017,1.25,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",AUS,Australia,2018,2018,1.28,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",AUS,Australia,2019,2019,1.32,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",AUS,Australia,2020,2020,1.26,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",AUS,Australia,2010,2010,1.3,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",AUS,Australia,2011,2011,1.33,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",AUS,Australia,2012,2012,1.33,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",AUS,Australia,2013,2013,1.32,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",AUS,Australia,2014,2014,1.35,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",AUS,Australia,2015,2015,1.36,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",AUS,Australia,2016,2016,1.33,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",AUS,Australia,2017,2017,1.35,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",AUS,Australia,2018,2018,1.36,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",AUS,Australia,2019,2019,1.43,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",AUS,Australia,2020,2020,1.37,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",AUS,Australia,2010,2010,53832.84,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",AUS,Australia,2011,2011,58451.86,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",AUS,Australia,2012,2012,58188.39,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",AUS,Australia,2013,2013,60094.07,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",AUS,Australia,2014,2014,60803.18,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",AUS,Australia,2015,2015,61464.55,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",AUS,Australia,2016,2016,63215.45,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",AUS,Australia,2017,2017,64676.11,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",AUS,Australia,2018,2018,67774.64,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",AUS,Australia,2019,2019,70348.6,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",AUS,Australia,2020,2020,70568.91,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",AUS,Australia,2010,2010,76782.38,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",AUS,Australia,2011,2011,92045.8,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",AUS,Australia,2012,2012,93156.87,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",AUS,Australia,2013,2013,88075.12,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",AUS,Australia,2014,2014,83869.75,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",AUS,Australia,2015,2015,71363.32,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",AUS,Australia,2016,2016,72053.96,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",AUS,Australia,2017,2017,77471.07,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",AUS,Australia,2018,2018,78962.98,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",AUS,Australia,2019,2019,77569.31,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",AUS,Australia,2020,2020,76459.4,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2010,2010,58230.17,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2011,2011,60038.92,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2012,2012,62213.09,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2013,2013,64370.06,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2014,2014,64623.92,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2015,2015,65296.67,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2016,2016,65703.27,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2017,2017,67339.2,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2018,2018,68842.05,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2019,2019,69537,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2020,2020,72509.35,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",BEL,Belgium,2021,2021,73307.51,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2010,2010,62637.47,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2011,2011,63436.63,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2012,2012,64469.51,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2013,2013,65867.37,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2014,2014,65483.66,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2015,2015,65296.67,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2016,2016,64464.99,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2017,2017,64882.57,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2018,2018,65318.27,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2019,2019,64844.52,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2020,2020,66613.33,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",BEL,Belgium,2021,2021,65498.59,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2010,2010,1.49,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2011,2011,1.47,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2012,2012,1.48,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2013,2013,1.51,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2014,2014,1.49,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2015,2015,1.5,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2016,2016,1.49,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2017,2017,1.51,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2018,2018,1.5,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2019,2019,1.48,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2020,2020,1.58,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",BEL,Belgium,2021,2021,1.51,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2010,2010,1.75,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2011,2011,1.76,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2012,2012,1.79,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2013,2013,1.83,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2014,2014,1.8,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2015,2015,1.77,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2016,2016,1.73,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2017,2017,1.72,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2018,2018,1.71,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2019,2019,1.67,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2020,2020,1.82,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",BEL,Belgium,2021,2021,1.69,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2010,2010,65123.27,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2011,2011,68170.65,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2012,2012,70446.92,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2013,2013,73884.12,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2014,2014,75153.27,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2015,2015,75457.56,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2016,2016,76933.93,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2017,2017,78561.11,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2018,2018,81356.08,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2019,2019,83879.47,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2020,2020,88158.55,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALVCMT,"Salaried, income, PPP for private consumption, in US$",BEL,Belgium,2021,2021,88536.93,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2010,2010,77196.71,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2011,2011,83571.47,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2012,2012,79930.68,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2013,2013,85491.05,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2014,2014,85852.95,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2015,2015,72447.53,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2016,2016,72727.19,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2017,2017,76071.79,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2018,2018,81299.3,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2019,2019,77844.92,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2020,2020,82819.94,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALXRMT,"Salaried, income, US$ exchange rate",BEL,Belgium,2021,2021,86703.77,E; D,Estimated value; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2010,2010,64249,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2011,2011,65691,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2012,2012,66183,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2013,2013,67168,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2014,2014,68499,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2015,2015,69222,B; D,Break; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2016,2016,70570,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2017,2017,71338,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2018,2018,72770,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2019,2019,75460,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2020,2020,77268,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2021,2021,79549.08,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",CAN,Canada,2022,2022,81897.67,D; P,Difference in methodology; Provisional value
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2010,2010,69016.45,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2011,2011,68353.92,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2012,2012,68040.57,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2013,2013,67873.86,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2014,2014,67898.39,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2015,2015,69222,B; D,Break; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2016,2016,70041.76,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2017,2017,69033.38,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2018,2018,69298.18,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2019,2019,70751.82,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2020,2020,72003.86,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2021,2021,68541.14,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",CAN,Canada,2022,2022,65744,D; P,Difference in methodology; Provisional value
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2010,2010,1.13,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2011,2011,1.12,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2012,2012,1.1,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2013,2013,1.09,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2014,2014,1.08,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2015,2015,1.07,B; D,Break; Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2016,2016,1.1,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2017,2017,1.09,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2018,2018,1.07,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2019,2019,1.09,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2020,2020,1.06,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2021,2021,1.05,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALAWMT,"Salaried, income per average wage",CAN,Canada,2022,2022,1.03,D; P,Difference in methodology; Provisional value
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",CAN,Canada,2010,2010,1.31,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",CAN,Canada,2011,2011,1.27,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALGDMT,"Salaried, income, /capita GDP",CAN,Canada,2012,2012,1.26,D,Difference in methodology
